Codigo_Pro|Nombre|Marca|Descripcion|Moneda|Precio|Precio_Valido_Hasta|Url_producto|Url_Imagen|Almacen|Cantidad|Fecha|Categoria|Ciudad
13302|pasta tornillos verduras doria x 500 g.|DORIA|Pasta en forma de pequeños tornillos con todos lo nutrientes de la espinaca y el tomate, perfecta para acompañar con pollo, carne, atún o preparar apetitosas ensaladas. Elaborados con sémola de trigos importados y extracto natural de tomate y espinaca. Enriquecidos con Antioxidantes una mezcla de vitamina A, C y E, Selenio y Zinc, que contribuyen a proteger el cuerpo contra efectos de sustancias oxidantes.|COP|4690|2023-02-20T22:10:50Z|https://www.tiendasjumbo.co/pasta-tornillos-verduras-doria-x-500-g/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/186177/7702085013496-1.jpg?v=1754156870|Cencosud - Colombia|500 g|2022-11-06|PASTAS|Tunja
84143|fideo comarrico x454 g|COMARRICO|Fideo comarrico x454g|COP|2790|2023-02-20T22:03:44Z|https://www.tiendasjumbo.co/fideo-comarrico-x454g/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/200075/7707307963153.jpg?v=1754171521|Cencosud - Colombia|454 g|2022-11-06|PASTAS|Tunja
21802|pasta spaghetti pastas la muñeca x1000 g|LA MUNECA|Pastas la muñeca, es perfecta para preparar diversas recetas ricas y saludables.|COP|6990|2023-07-31T22:03:13Z|https://www.tiendasjumbo.co/pasta-spaghetti-pastas-la-muneca-x-1000g/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/191851/7702020117012.jpg?v=1754171902|Cencosud - Colombia|1 kg|2022-11-06|PASTAS|Tunja
13268|pasta clásica spaghetti doria x 500 g.|DORIA|El Spaghetti es una pasta larga con múL.iples y fáciles formas de preparación perfecta para acompañar con salsas, carnes y verduras. Disfruta de un plato tradicional y nutritivo, elaborado con sémola de trigos importados y fortificado con Nutrivit para una buena alimentación.  Mezcla de semolato de trigo fortificado y agua, adicionada con una mezcla de micronutrientes compuesta por vitamina A, acido folico, Hierro y zinc. Preparar en 1 litro de agua hirviendo por cada 100 g de pasta con sal al gusto, ag.egar la pasta y dejar cocinar de 12 a 15 min. Ideal para preparar como plato fuerte.|COP|4690|2023-10-31T22:17:43Z|https://www.tiendasjumbo.co/pasta-clasica-spaghetti-doria-x-500-g/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/186132/7702085013021-1.jpg?v=1754178666|Cencosud - Colombia|500 g|2022-11-06|PASTAS|Tunja
13314|pasta macarrón con salsa de queso doria x 210 g.|DORIA|Macarrón pequeño con una deliciosa salsa de queso incluida en el empaque, prepararlo es muy fácil, sólo necesita leche, no hace falta agregarles mantequilla.|COP|4190|2023-02-20T22:03:28Z|https://www.tiendasjumbo.co/pasta-macarron-con-salsa-de-queso-doria-x-210-g/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/186189/7702085014288.jpg?v=1754169604|Cencosud - Colombia|210 g|2022-11-06|PASTAS|Tunja
13316|pasta monticello fusilli x 500 g.|MONTICELLO|Mejor conocidos como tornillos, son perfectos para servir con mucha salsa, básicamente porque su forma en espiral la retiene más y cada bocado combina perfecto los sabores de los ingredientes con los que se preparen. Otra opción deliciosa es preparar ensaladas con ellos será un complemento maravilloso.|COP|7590|2023-11-07T01:02:04Z|https://www.tiendasjumbo.co/pasta-monticello-fusilli-x-500-g/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/186194/7702085243480-1.jpg?v=1754181207|Cencosud - Colombia|500 g|2022-11-06|PASTAS|Tunja
13298|pasta clásica concha doria x 500 g.|DORIA|Pasta corta en forma de concha elaborada con sémola de trigos importados,únicas fortificadas con Nutrivit que contribuye a una buena alimentación de la familia. Las Conchas Doria son un formato de pasta pequeño ideal para las diferentes preparaciones de sopas y ensaladas junto con la verdura y proteína de tu preferencia.|COP|4690|2023-10-31T22:09:31Z|https://www.tiendasjumbo.co/pasta-clasica-concha-doria-x-500-g/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/186170/7702085013120-1.jpg?v=1754173569|Cencosud - Colombia|500 g|2022-11-06|PASTAS|Tunja
13286|pasta monticello fettuccine x 500 g.|MONTICELLO|Esta proverbial pasta de forma plana es ideal para preparar con salsas más gruesas, ya que permite que estas se adhieran mejor y deslicen suavemente por la boca. Es perfecta para acompañar con un buen vino tinto y cualquiera de las variedades de pan rústico que harán de una velada inesperada algo inolvidable.|COP|7590|2023-02-06T22:09:05Z|https://www.tiendasjumbo.co/pasta-monticello-fettuccine-x-500-g/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/186150/7702085021538-1.jpg?v=1754153237|Cencosud - Colombia|500 g|2022-11-06|PASTAS|Tunja
13293|pasta clásica cabello de ángel doria x 500 g.|DORIA|Pasta corta y de fino g.osor, perfecta para toda clase de preparación de sopas e incluso para mezclar con arroz. El cabello de ángel está elaborado con sémola de trigos importados y fortificados con Nutrivit.|COP|4890|2023-10-31T22:07:22Z|https://www.tiendasjumbo.co/pasta-clasica-cabello-de-angel-doria-x-500-g/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/186162/7702085013076-1.jpg?v=1754180752|Cencosud - Colombia|500 g|2022-11-06|PASTAS|Tunja
21833|pasta fetuccine conzazoni x500 g|CONZAZONI|Pastas Conzazoni son elaboradas con 100%Trigo Durum utilizando materias primas provenientes de las mejores variedades de calidad superior.|COP|9390|2023-08-17T22:04:27Z|https://www.tiendasjumbo.co/pasta-fetuccine-conzazoni-x-500g/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/191869/7702020052375-1.jpg?v=1754144688|Cencosud - Colombia|500 g|2022-11-06|PASTAS|Tunja
21912|pasta penne rigate barilla x500 g|BARILLA|Hecho en Italia a partir de sémola de trigo duro 100% premiumcocine durante 11 minutos para obtener la auténtica pasta &aposal dente&apos perfecta. Apto para vegetarianos.|COP|12590|2023-10-17T22:04:06Z|https://www.tiendasjumbo.co/pasta-penne-rigate-barilla-x-500g/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/388965/8076802085738.jpg?v=1754149584|Cencosud - Colombia|500 g|2022-11-06|PASTAS|Tunja
21909|pasta fusilli barilla x500 g|BARILLA|Trigos duros seleccionados para pasta que saben muy bien en todas las recetas y absorben todo tipo de salsa sin problemas.Tiempo de cocción 11 minutosPaís de origen: ItaliaApto para vegetarianos|COP|11390|2023-08-21T22:02:58Z|https://www.tiendasjumbo.co/fusilli-barilla-x-500g/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/388967/8076802085981.jpg?v=1754179376|Cencosud - Colombia|500 g|2022-11-06|PASTAS|Tunja
13292|pasta clásica fideo doria x 250 g.|DORIA|Pasta corta y delgadita, elaborada con sémola de trigos importados y únicas fortificadas con Nutrivit. Perfecto en preparación de sopas, acompañadas de verduras o carnes, también son deliciosos en arroces y ensaladas.|COP|2590|2023-10-31T22:09:18Z|https://www.tiendasjumbo.co/pasta-clasica-fideo-doria-x-250-g/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/186160/7702085012062-1.jpg?v=1754178987|Cencosud - Colombia|250 g|2022-11-06|PASTAS|Tunja
21793|pasta spaghetti conzazoni x1000 g|CONZAZONI|Pastas Conzazoni son elaboradas con 100%Trigo Durum utilizando materias primas provenientes de las mejores variedades de calidad superior.|COP|14390|2023-08-17T22:14:01Z|https://www.tiendasjumbo.co/pasta-spaghetti-conzazoni-x-1000g/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/191842/7702020052085-1.jpg?v=1754147990|Cencosud - Colombia|1 kg|2022-11-06|PASTAS|Tunja
21817|pasta el dorado spaghetti arroz sin gluten x 250 g|EL DORADO|Pasta El Dorado Spaghetti Arroz Sin Gluten, proporciona a toda tu familia los nutrientes y energia que necesitan, ideal para sorprender  con si delicioso sabor.|COP|6190|2023-11-07T01:06:37Z|https://www.tiendasjumbo.co/pasta-el-dorado-spaghetti-arroz-sin-gluten-x-250g/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/191858/7709990080476.jpg?v=1754150805|Cencosud - Colombia|250 g|2022-11-06|PASTAS|Tunja
21850|pasta cabello de ángel pastas la muñeca x500 g|LA MUNECA|Pastas la muñeca, es perfecta para preparar diversas recetas ricas y saludables.|COP|4190|2023-07-31T22:03:08Z|https://www.tiendasjumbo.co/pasta-cabello-de-angel-pastas-la-muneca-x-500g/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/191881/7702020113052.jpg?v=1754167013|Cencosud - Colombia|500 g|2022-11-06|PASTAS|Tunja
40857|pasta spaghetti san remo x 1000 g|SAN REMO|La forma redonda más gruesa, con un medio hueco para coger la salsa. Espagueti tubular también se refiere a menudo como Zita o Bucatini, y es excelente en cocciones de pasta.|COP|5990|2023-07-31T22:11:37Z|https://www.tiendasjumbo.co/pasta-spaghetti-san-remo-x-1000g/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/194722/7702020040327-20-1.jpg?v=1754150015|Cencosud - Colombia|1 kg|2022-11-06|PASTAS|Tunja
13271|pasta monticello spaguetti x 500 g.|MONTICELLO|De Italia para el mundo está exquisita y proverbial pasta elaborada de forma tradicional, es uno de los platillos preferidos por los italianos. Su nombre evoca la forma de unas espigas o cuerdas y gracias a que es fina y larga, su cocción es rápida, una vez lista puede acompañarse con todo tipo de salsas blancas y salsas a base de tomate, ya que es considerada la pasta más versátil.En cualquier presentación serán un plato perfecto para sorprender a cualquier invitado con momentos llenos de puro piacere.|COP|7590|2023-02-06T22:04:03Z|https://www.tiendasjumbo.co/pasta-monticello-spaguetti-x-500-g/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/186134/7702085243022-1.jpg?v=1754182216|Cencosud - Colombia|500 g|2022-11-06|PASTAS|Tunja
21900|pasta fettuccine barilla x500 g|BARILLA| Elegante y robusta forma de pastaFabricado en Italia.Sirve con salsas a base de lácteos, aceite o tomate                                  Tiempo de Coccion 9 min  . |COP|18590|2023-08-21T22:03:00Z|https://www.tiendasjumbo.co/pasta-fettuccine-toscane-barilla-x-500g/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/191919/8076809523776.jpg?v=1754148592|Cencosud - Colombia|500 g|2022-11-06|PASTAS|Tunja
77962|pasta la muneca paquetón x 6 und x 1500 g|LA MUNECA|Pasta la muñeca paqueton, ideal para acompañar tus comidas.|COP|9990|2023-07-31T22:11:46Z|https://www.tiendasjumbo.co/pasta-la-muneca-paqueton-x-6-und-x-1500g/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/199371/7702020120296.jpg?v=1754177505|Cencosud - Colombia|6 und  1500 g|2022-11-06|PASTAS|Tunja
13331|pasta lasagna precocida doria x 200 g|DORIA|Láminas de pasta rizada, es precocida lo que permite ahorrar tiempo en las preparaciones, ideal para celebraciones con las mas deliciosas salsas y rellenos con carne y vegetales.|COP|5990|2023-02-20T22:03:42Z|https://www.tiendasjumbo.co/pasta-lasagna-precocida-doria-x-200-g/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/186201/7702085043066.jpg?v=1754183152|Cencosud - Colombia|200 g|2022-11-06|PASTAS|Tunja
21788|pasta spaghettini barilla x500 g|BARILLA|Prueba la deliciosa variedad de Pastas que Barilla trae para ti.|COP|10590|2023-09-22T22:07:26Z|https://www.tiendasjumbo.co/spaghettini-barilla-x-500g/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/388962/8076800195033.jpg?v=1754150970|Cencosud - Colombia|500 g|2022-11-06|PASTAS|Tunja
