Codigo_Pro|Nombre|Marca|Descripcion|Moneda|Precio|Precio_Valido_Hasta|Url_producto|Url_Imagen|Almacen|Cantidad|Fecha|Categoria|Ciudad
13376|arroz diana x 25 und x 500 g cu|DIANA|Proporciónale todo el amor a tu familia con el delicioso Arroz Diana.|COP|48890|2023-10-23T22:03:52Z|https://www.tiendasjumbo.co/arroz-diana-x-25-und-x-500-g-c-u/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/186291/7702511000342.jpg?v=1755042794|Cencosud - Colombia|25 und  500 g c/u|2022-11-16|ARROZ|Tunja
13397|arroz diana x 10 kg|DIANA|Proporciónale todo el amor a tu familia con el delicioso Arroz Diana|COP|41290|2023-10-27T22:06:09Z|https://www.tiendasjumbo.co/arroz-diana-x-10-kg/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/186325/7702511000205.jpg?v=1755042703|Cencosud - Colombia|10 kg|2022-11-16|ARROZ|Tunja
22018|arroz vitarroz plus supremo x 10 kg|SUPREMO|Arroz Supremo Premium es símbolo de la excelencia del arroz Colombiano, llevalo a tu casa con tan solo un click en tiendasjumbo.co|COP|44290|2023-10-14T22:05:43Z|https://www.tiendasjumbo.co/arroz-vitarroz-plus-supremo-x-10-kg/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/192008/7701024000276-1.jpg?v=1755018311|Cencosud - Colombia|10 kg|2022-11-16|ARROZ|Tunja
111865|arroz cuisine&ampco blanco x10000 g|CUISINE &amp CO NBE MP|Arroz cuisine&ampco blanco x10000g|COP|37490|2023-08-28T22:30:36Z|https://www.tiendasjumbo.co/arroz-cuisine-co-blanco-x10000g/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/213565/7703616303888.jpg?v=1755036646|Cencosud - Colombia|10 kg|2022-11-16|ARROZ|Tunja
13396|arroz diana x 5 kg|DIANA|Proporciónale todo el amor a tu familia con el delicioso Arroz Diana|COP|20690|2023-10-27T22:06:09Z|https://www.tiendasjumbo.co/arroz-diana-x-5-kg/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/186323/7702511000045.jpg?v=1755042606|Cencosud - Colombia|5 kg|2022-11-16|ARROZ|Tunja
13395|arroz diana x 3 kg|DIANA|Proporciónale todo el amor a tu familia con el delicioso Arroz Diana|COP|12490|2023-10-27T22:04:03Z|https://www.tiendasjumbo.co/arroz-diana-x-3-kg/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/186321/7702511000038.jpg?v=1755042577|Cencosud - Colombia|3 kg|2022-11-16|ARROZ|Tunja
13381|arroz diana x 1 kg|DIANA|Proporciónale todo el amor a tu familia con el delicioso Arroz Diana|COP|4200|2023-10-27T22:03:29Z|https://www.tiendasjumbo.co/arroz-diana-x-1-kg/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/186299/7702511000021.jpg?v=1755042322|Cencosud - Colombia|1 kg|2022-11-16|ARROZ|Tunja
22006|arroz supremo x 5 kg|SUPREMO|Arroz Supremo contiene una mezcla de vitaminas y minerales que contribuyen a la nutrición de tu familia.Contribuye al crecimiento y desarrollo del cuerpo y, ayuda a fortalecer el sistema inmunológico.Contribuye al buen funcionamiento del sistema inmunológico.|COP|22590|2023-10-14T22:12:10Z|https://www.tiendasjumbo.co/arroz-supremo-x-5-kg/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/191981/7701024000047-1.jpg?v=1755033475|Cencosud - Colombia|5 kg|2022-11-16|ARROZ|Tunja
13389|arroz roa x 10 kg|ROA|arroz descascarado al cual se le ha eliminado totalmente por elaboracion el germen y el salvado con adicion de vitamina A y acido folico|COP|44590|2023-08-29T22:01:46Z|https://www.tiendasjumbo.co/arroz-roa-x-10kg/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/186308/7702552000172.jpg?v=1755042151|Cencosud - Colombia|10 kg|2022-11-16|ARROZ|Tunja
111864|arroz cuisine&ampco blanco x5000 g|CUISINE &amp CO NBE MP|Arroz cuisine&ampco blanco x5000g|COP|18790|2023-08-28T22:09:47Z|https://www.tiendasjumbo.co/arroz-cuisine-co-blanco-x5000g/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/213564/7703616275024.jpg?v=1755040998|Cencosud - Colombia|5 kg|2022-11-16|ARROZ|Tunja
40865|arroz máxima x25 und x500 g cu|MAXIMA MP|Prepara tus platillos favoritos o acompaña tus recetas con este arroz Maxima que ha sido seleccionado para llevar a tu mesa lo mejor.|COP|42590|2023-08-28T22:22:26Z|https://www.tiendasjumbo.co/arroz-maxima-x-25-und-x-500-g-c-u/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/194728/7703616164359-1.jpg?v=1755039387|Cencosud - Colombia|25 und 500 g c/u|2022-11-16|ARROZ|Tunja
13412|arroz diana premium x 4000 g|DIANA|Diana Premium es el arroz que siempre te hará quedar bien, ya que es 5 veces seleccionado, pasando por los mas estrictos estándares de calidad, para darte granos mas grandes, blancos, y enteros. Un gusto Premium que puedes disfrutar todos los días|COP|23490|2023-08-28T22:27:34Z|https://www.tiendasjumbo.co/arroz-diana-premium-x-4000-g/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/186351/7702511000991.jpg?v=1755034889|Cencosud - Colombia|4 kg|2022-11-16|ARROZ|Tunja
13378|arroz florhuila x 5 kg|FLORHUILA|Disfruta el delicioso sabor del arroz descascarado al cual se le ha eliminado totalmente por elaboración el germen y el salvado con adición de vitamina A y ácido folico.|COP|22390|2023-10-27T22:06:10Z|https://www.tiendasjumbo.co/arroz-florhuila-x-5-kg/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/186295/7702231000042-on-emp-arroz-florhuila-vitaminas-x5000g.jpg?v=1755039637|Cencosud - Colombia|5 kg|2022-11-16|ARROZ|Tunja
57911|arroz diana integral x 1000 g|DIANA|Disfruta del mejor arroz en tu mesa y acompáñalo con tus mejores preparaciones|COP|5490|2023-09-12T20:02:45Z|https://www.tiendasjumbo.co/arroz-diana-integral-x1000g/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/207564/7702511003695.jpg?v=1755033440|Cencosud - Colombia|1 kg|2022-11-16|ARROZ|Tunja
13379|arroz florhuila x 10 kg|FLORHUILA|Arroz descascarado al cual se le ha eliminado totalmente por elaboracion el germen y el salvado con adicion de vitamina A y acido folico|COP|44590|2023-08-28T22:30:15Z|https://www.tiendasjumbo.co/arroz-florhuila-x-10-kg/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/186297/7702231000066.jpg?v=1755034622|Cencosud - Colombia|10 kg|2022-11-16|ARROZ|Tunja
22009|arroz casanare x 10 kg|CASANARE|El grano de arroz más grande y rendidor. Seleccionado grano a grano desde el cultivo.|COP|46590|2023-10-24T22:07:40Z|https://www.tiendasjumbo.co/arroz-casanare-x-10-kg/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/191987/7703308010131-1.jpg?v=1755038247|Cencosud - Colombia|10 kg|2022-11-16|ARROZ|Tunja
56415|arroz roa x5 kg|ROA|Arroz*5kg roa|COP|22390|2023-10-27T22:06:09Z|https://www.tiendasjumbo.co/arroz-5kg-roa/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/195419/7702552000516.jpg?v=1755038255|Cencosud - Colombia|5 kg|2022-11-16|ARROZ|Tunja
22039|arroz castellano x 2.5 kg|CASTELLANO|Es el único en Colombia que desde la semilla hasta el empaque es concebido para convertirse en el verdadero aliado en la cocina de los que saben diferenciar lo rico de lo exquisito.|COP|22990|2023-09-12T20:03:22Z|https://www.tiendasjumbo.co/arroz-castellano-x-2-5-kg/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/192033/7702206010908.jpg?v=1755038121|Cencosud - Colombia|2.5 kg|2022-11-16|ARROZ|Tunja
56416|arroz roa blanco fortiplus x3000 g|ROA|Arroz roa blanco fortiplus x3000g|COP|13490|2023-10-27T22:03:28Z|https://www.tiendasjumbo.co/arroz-roa-blanco-fortiplus-x3000g/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/195421/7702552000486.jpg?v=1755034957|Cencosud - Colombia|3 kg|2022-11-16|ARROZ|Tunja
13385|arroz blanco máxima x5 kg|MAXIMA MP|Prepara deliciosas recetas con Arroz blanco maxima.|COP|18790|2023-10-31T22:07:56Z|https://www.tiendasjumbo.co/arroz-blanco-maxima-x-5-kg/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/186305/7703616076515-1.jpg?v=1755033959|Cencosud - Colombia|5 kg|2022-11-16|ARROZ|Tunja
28204|arroz diana x500 g|DIANA|Arroz Diana x500g|COP|2250|2023-10-27T22:06:10Z|https://www.tiendasjumbo.co/arroz-diana-500g/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/400435/7702511000014.jpg?v=1755034189|Cencosud - Colombia|500 g|2022-11-16|ARROZ|Tunja
13410|arroz diana premium x 2.5 kg|DIANA|Diana Premium es el arroz que siempre te hará quedar bien, ya que es 5 veces seleccionado, pasando por los mas estrictos estándares de calidad, para darte granos mas grandes, blancos, y enteros. Un gusto Premium que puedes disfrutar todos los días|COP|16490|2023-10-27T22:04:04Z|https://www.tiendasjumbo.co/arroz-diana-premium-x-2-5-kg/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/186349/7702511000748.jpg?v=1755037727|Cencosud - Colombia|2.5 kg|2022-11-16|ARROZ|Tunja
140195|arroz castellano premium blanco x4000 g|CASTELLANO|Arroz castellano premium blanco x4000g|COP|35990|2023-09-12T20:02:49Z|https://www.tiendasjumbo.co/arroz-castellano-premium-blanco-x4000g/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/214894/7702206299389.jpg?v=1755035871|Cencosud - Colombia|4 kg|2022-11-16|ARROZ|Tunja
111866|arroz cuisine&ampco blanco x3000 g|CUISINE &amp CO NBE MP|Arroz cuisine&ampco blanco x3000g|COP|11390|2023-08-28T22:09:47Z|https://www.tiendasjumbo.co/arroz-cuisine-co-blanco-x3000g/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/213566/7703616275000.jpg?v=1755033656|Cencosud - Colombia|3 kg|2022-11-16|ARROZ|Tunja
50669|arroz parbolizado doña pepa 1000 g|DONA PEPA|Arroz descascarado al cual se le ha eliminado totalmente por elaboracion el germen y el salvado con adicion de vitamina A y acido folico|COP|6190|2023-09-12T20:02:07Z|https://www.tiendasjumbo.co/arroz-parbolizado-dona-pepa-1000g/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/209449/7702231300029-1.jpg?v=1755037763|Cencosud - Colombia|1 kg|2022-11-16|ARROZ|Tunja
