Codigo_Pro|Nombre|Marca|Descripcion|Moneda|Precio|Precio_Valido_Hasta|Url_producto|Url_Imagen|Almacen|Cantidad|Fecha|Categoria
23453|leche deslactosada alquería x 1100 ml x 6 und|ALQUERIA|La Leche Deslactosada Alquería aporta una gran cantidad de vitaminas y prebióticos ideales para el cuidado de toda familia.|COP|28790.0|2023-05-30T22:06:08Z|https://www.tiendasjumbo.co/leche-deslactosada-alqueria-x-1100ml-x-6und/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/403043/7702177008560.jpg?v=1752082763|Cencosud - Colombia|1100 ml  6 und|2022-10-13|LECHE
23481|leche entera alquería x 1100 ml x 6 und|ALQUERIA|La Leche Entera Alquería aporta una gran cantidad de vitaminas y prebióticos ideales para el cuidado de toda familia. Ademas del sabor y cremosidad único|COP|27190.0|2023-04-26T22:02:18Z|https://www.tiendasjumbo.co/leche-entera-alqueria-x-1100ml-x-6und/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/403035/7702177001790.jpg?v=1752082762|Cencosud - Colombia|1100 ml  6 und|2022-10-13|LECHE
23444|leche deslactosada alpina bolsa x6 unds x1100 ml|ALPINA|La Leche deslactosada Alpina es de fácil digestión, apta para personas intolerantes a la lactosa, buena fuente de proteína, calcio vitaminas y minerales.|COP|28590.0|2023-09-22T10:01:46Z|https://www.tiendasjumbo.co/leche-deslactosada-alpina-bolsa-x-6und-x-1100ml/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/192867/7702001029716-multiempaque-x6-unidades-leche-deslactosada-bolsa-1100ml.jpg?v=1752085475|Cencosud - Colombia|6 unds 1100 ml|2022-10-13|LECHE
206584|leche colanta entera bolsa uht x 6 und x 1000 ml cu|COLANTA|Leche colanta entera bol uht x 6 und x 1000ml c-u|COP|24790.0|2023-06-06T22:01:23Z|https://www.tiendasjumbo.co/leche-colanta-entera-bol-uht-x-6-und-x-1000ml-c-u/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/366351/7702129004961.jpg?v=1752081340|Cencosud - Colombia|6 und  1 l c/u|2022-10-13|LECHE
23482|leche entera alqueria supermegalitro 1.3 l sixpack|ALQUERIA|Aporta una gran cantidad de vitaminas y prebióticos ideales para el cuidado de tu familia.|COP|31590.0|2023-04-26T22:02:18Z|https://www.tiendasjumbo.co/leche-entera-alqueria-supermegalitro-x-1-3l-sixpack/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/403046/7702177009215.jpg?v=1752082767|Cencosud - Colombia|1.3 l|2022-10-13|LECHE
157419|leche parmalat entera vitamina d x6 und x1100 ml|PRODUCCION CENCOSUD|Los mejores productos para tu hogar.|COP|25990.0|2023-09-26T22:04:47Z|https://www.tiendasjumbo.co/leche-parmalat-entera-vitamina-d-x6und-x1100ml-c-u-3444341/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/218140/7700604052360.jpg?v=1752083818|Cencosud - Colombia|6 und 1100 ml|2022-10-13|LECHE
206586|leche colanta deslactosada bolsa uht x6 und x1000 ml c/u|COLANTA|Leche colanta deslactosada bol uht x6undx1000mlc-u|COP|25990.0|2023-07-10T22:02:14Z|https://www.tiendasjumbo.co/leche-colanta-deslactosada-bol-uht-x6undx1000mlc-u/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/426315/7702129004985.jpg?v=1752083530|Cencosud - Colombia|6 und 1 l c/u|2022-10-13|LECHE
23474|leche entera alpina bolsapaq x6 und x1100 ml|ALPINA|"La leche Entera Alpina conserva todos los nutrientes naturales de la leche: grasa, proteínas, calcio y carbohidratos. Es una Leche larga vida, Cremosa, fuente de proteína, calcio, vitaminas y minerales.
Ideal para todas las personas que desean aprovechar los nutrientes y para los niños en etapa de crecimiento y desarrollo."|COP|28990.0|2023-03-25T22:02:23Z|https://www.tiendasjumbo.co/leche-entera-alpina-bolsa-x-1100ml-paq-x-6und/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/192886/7702001041411-multiempaque-x6-unidades-leche-entera-bolsa-1100ml.jpg?v=1752085475|Cencosud - Colombia|6 und 1100 ml|2022-10-13|LECHE
23461|leche deslactosada algarra sixpack x 1.1 l|ALGARRA|Leche larga vida (UHT)  entera, con 3% de contenido de grasa. Fuente de proteínas y Calcio, por lo que se constituye en el alimento ideal para toda la familia.|COP|25990.0|2023-07-12T22:02:33Z|https://www.tiendasjumbo.co/leche-deslactosada-algarra-sixpack-x-1-1-l/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/432008/7702477114282.jpg?v=1752086864|Cencosud - Colombia|1.1 l|2022-10-13|LECHE
183055|leche alquería semidescremada balance x6 und x1100 ml cu|ALQUERIA|Disfruta de los mejores productos que trae Alquería para ti y toda tu familia|COP|26590.0|2023-04-26T22:06:44Z|https://www.tiendasjumbo.co/leche-alqueria-smdescr-balance-x6und-x1100ml-cu-3478285/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/403092/7702177021392.jpg?v=1752082787|Cencosud - Colombia|6 und 1100 ml c/u|2022-10-13|LECHE
105889|leche alpina deslactosada x6 unidades x1300 ml|ALPINA|La Leche deslactosada Alpina es de fácil digestión, apta para personas intolerantes a la lactosa, buena fuente de proteína, calcio vitaminas y minerales.|COP|26990.0|2022-10-17T05:00:00Z|https://www.tiendasjumbo.co/leche-alpina-deslactosada-x6und-x1300ml-c-u/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/197593/7702001145782-multiempaque-x6-unidades-leche-deslactosada-bolsa-1300ml.jpg?v=1752086786|Cencosud - Colombia|6 und 1300 ml|2022-10-13|LECHE
23440|leche descremada y deslactosada alquería 0 % grasa 1.1 l sixpack|ALQUERIA|A veces la lactosa te causa molestias pero con leche deslactosada podrás sentir el sabor de la leche ayudándote a una fácil digestión evitando molestias abdominales.|COP|28390.0|2023-04-26T22:05:07Z|https://www.tiendasjumbo.co/leche-alqueria-deslactoosada-cero-grasa-x-6und-x-1100ml-c-u/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/403063/7702177017982.jpg?v=1752082754|Cencosud - Colombia|1.1 l|2022-10-13|LECHE
23435|leche descremada alquería 0 % grasa 1.1 l sixpack|ALQUERIA|Esta puede ser una buena opción para las personas que buscan alimentos sin grasas y que aporte las mismas cantidades de  propiedades de una leche normal.|COP|28990.0|2023-04-27T22:24:27Z|https://www.tiendasjumbo.co/leche-descremada-alqueria-x-1100ml-x-6und/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/403036/7702177003527.jpg?v=1752087196|Cencosud - Colombia|1.1 l|2022-10-13|LECHE
23491|leche entera máxima x6 und x900 ml|MAXIMA MP|desde la comodidad de su casa solicite su mercado en tiendas jumbo.com|COP|17990.0|2023-05-16T22:02:07Z|https://www.tiendasjumbo.co/leche-entera-maxima-x-6-und-x-900-ml/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/192899/7703616093604.jpg?v=1752087184|Cencosud - Colombia|6 und 900 ml|2022-10-13|LECHE
23454|leche alquería deslactosada semidescremada x 6 und x 1300 ml cu|ALQUERIA|Te ayuda a una fácil digestión disminuyendo  molestias pesadez, malestar abdominal causado por la lactosa.|COP|31590.0|2023-04-26T22:06:36Z|https://www.tiendasjumbo.co/leche-deslactosada-bol-supermega-litro-x-1300ml-x-6und/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/403048/7702177009659.jpg?v=1752082768|Cencosud - Colombia|6 und  1300 ml c/u|2022-10-13|LECHE
58492|leche alquería megalitro deslactosada x1.3 l|ALQUERIA|Disfruta de tu Leche Alquería Megalitro deslactosada x1.3L|COP|5190.0|2023-04-26T22:05:53Z|https://www.tiendasjumbo.co/b-l-v-deslactosada-1300-ml/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/403047/7702177009642.jpg?v=1752082760|Cencosud - Colombia|1.3 l|2022-10-13|LECHE
130701|leche en polvo azucarada el rodeo bolsa x 1250 gr|CENCOSUD|"•EL RODEO® es una leche en polvo azucarada que ofrece a la familia una bebida deliciosa.
•La leche en polvo EL RODEO® de Nestlé® es una bebida rica en hierro, calcio y vitamina C."|COP|32792.0|2023-08-28T22:20:31Z|https://www.tiendasjumbo.co/leche-polvo-el-rodeo-hierro-calcio-vit-c-x1250g/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/212138/7702024785033.jpg?v=1752083777|Cencosud - Colombia|1250 gr|2022-10-13|LECHE
23553|alpín chocolate x 6 und x 200 ml|ALPINA|Alpin es un producto delicioso, indulgente, cremosidad, enriquecido con vitaminas A, Niacina, B1 y B2. No requiere refrigeración, lo cual lo hace un producto práctico y delicioso para llevar a cualquier lugar.|COP|12632.0|2023-03-25T22:02:22Z|https://www.tiendasjumbo.co/alpin-chocolate-x-6und-x-200ml/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/192921/7702001029723-multiempaque-x6-unidades-alpin-chocolate-caja-200ml.jpg?v=1752085473|Cencosud - Colombia|6 und  200 ml|2022-10-13|ALPIN
50676|leche alpina alpín chocolate bolsa x 6 und x 180 ml|ALPINA|Alpin es un producto delicioso, indulgente, cremosidad, enriquecido con vitaminas A, Niacina, B1 y B2. No requiere refrigeración, lo cual lo hace un producto práctico y delicioso para llevar a cualquier lugar.|COP|12990.0|2023-08-31T22:21:22Z|https://www.tiendasjumbo.co/leche-alpina-alpin-chocolate-bolsa-x6undx180mlc-u/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/209459/7702001116560-multiempaque-x6-unidades-alpin-chocolate-bolsa-180ml.jpg?v=1752086792|Cencosud - Colombia|6 und  180 ml|2022-10-13|LECHE
62614|leche maxima deslactosada bolsa x6 undx900 mlcu|MAXIMA MP|Leche maxima deslactosada bolsa x6undx900mlc-u|COP|18990.0|2023-07-12T22:02:35Z|https://www.tiendasjumbo.co/leche-maxima-deslactosada-bolsa-x6undx900mlc-u-3263490/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/209980/packleche_maxi-deslactosa_031720.jpg?v=1752086188|Cencosud - Colombia|6 und900 mlc/u|2022-10-13|LECHE
23517|leche deslactosada alpina x4 und x1000 ml|ALPINA|La Leche deslactosada Alpina es de fácil digestión, apta para personas intolerantes a la lactosa, buena fuente de proteína, calcio vitaminas y minerales.|COP|22790.0|2023-03-25T22:09:37Z|https://www.tiendasjumbo.co/leche-deslactosada-alpina-x-4und-x-1000cm3/p|https://jumbocolombiaio.vtexassets.com/arquivos/ids/192907/7702001027576-multiempaque-x4-unidades-leche-deslactosada-caja-1000ml.jpg?v=1752085593|Cencosud - Colombia|4 und 1 l|2022-10-13|LECHE
